destination,country,region,budget_level,has_hiking,has_beach,culture_score,luxury_score,tourism_level,family_friendly,nightlife_level,avg_temp_peak
Madeira,Portugal,Europe,medium,1,0,0.71,0.35,low,0.48,0.55,26
Queenstown,New Zealand,Oceania,high,1,0,0.48,0.34,medium,0.62,0.54,29
Patagonia,Argentina/Chile,South America,medium,1,0,0.61,0.36,high,0.68,0.31,24
Banff,Canada,North America,medium,1,0,0.49,0.4,medium,0.55,0.36,18
Interlaken,Switzerland,Europe,high,1,0,0.48,0.37,medium,0.72,0.39,21
Chamonix,France,Europe,medium,1,0,0.72,0.64,high,0.71,0.4,25
Pokhara,Nepal,Asia,medium,1,0,0.51,0.39,medium,0.66,0.52,19
Cusco,Peru,South America,medium,1,0,0.64,0.35,medium,0.53,0.62,29
Moab,United States,North America,high,1,0,0.53,0.26,medium,0.53,0.33,27
Tromso,Norway,Europe,medium,1,1,0.62,0.6,medium,0.49,0.31,29
Reykjavik,Iceland,Europe,medium,1,1,0.6,0.48,medium,0.75,0.31,25
Kazbegi,Georgia,Europe/Asia,low,1,0,0.75,0.31,low,0.65,0.49,24
Dolomites,Italy,Europe,high,1,1,0.54,0.47,high,0.65,0.3,26
Zermatt,Switzerland,Europe,high,1,0,0.49,0.42,medium,0.74,0.6,22
La Fortuna,Costa Rica,Central America,high,1,0,0.63,0.29,medium,0.7,0.45,21
Cape Town,South Africa,Africa,low,1,0,0.64,0.56,medium,0.45,0.38,18
Sapa,Vietnam,Asia,low,1,0,0.76,0.58,medium,0.47,0.6,19
Huaraz,Peru,South America,low,1,0,0.74,0.64,medium,0.49,0.51,26
Bled,Slovenia,Europe,low,1,1,0.76,0.42,low,0.61,0.54,21
Kotor,Montenegro,Europe,medium,1,0,0.8,0.51,medium,0.61,0.3,21
Aosta Valley,Italy,Europe,medium,1,1,0.53,0.34,low,0.64,0.34,18
Lake District,United Kingdom,Europe,medium,1,0,0.55,0.44,medium,0.67,0.6,27
Meteora,Greece,Europe,medium,1,0,0.73,0.33,low,0.58,0.42,25
Tbilisi & Caucasus,Georgia,Europe/Asia,high,1,0,0.69,0.64,low,0.57,0.39,19
Mount Toubkal,Morocco,Africa,low,1,0,0.64,0.31,low,0.59,0.6,19
Rila Mountains,Bulgaria,Europe,medium,1,1,0.48,0.51,medium,0.45,0.29,30
Zion National Park,United States,North America,medium,1,0,0.62,0.6,high,0.5,0.25,24
Yosemite,United States,North America,high,1,0,0.55,0.53,medium,0.69,0.51,25
Torres del Paine,Chile,South America,low,1,0,0.53,0.27,medium,0.47,0.38,18
Azores,Portugal,Europe,medium,1,1,0.77,0.46,low,0.6,0.59,19
Andorra la Vella,Andorra,Europe,medium,1,1,0.75,0.41,high,0.62,0.48,18
Lofoten Islands,Norway,Europe,high,1,1,0.65,0.38,medium,0.65,0.38,22
Cappadocia,Turkey,Asia/Europe,medium,1,1,0.68,0.43,high,0.73,0.25,27
Chiang Mai,Thailand,Asia,high,1,0,0.48,0.34,medium,0.73,0.6,21
Bali,Indonesia,Asia,medium,0,1,0.48,0.59,medium,0.84,0.71,33
Phuket,Thailand,Asia,low,1,1,0.42,0.65,low,0.55,0.4,26
Santorini,Greece,Europe,medium,0,1,0.54,0.67,medium,0.72,0.47,32
Seychelles,Seychelles,Africa,high,0,1,0.34,0.54,medium,0.5,0.7,29
Zanzibar,Tanzania,Africa,low,0,1,0.52,0.54,medium,0.53,0.75,27
Tulum,Mexico,North America,medium,0,1,0.53,0.42,medium,0.61,0.75,25
Goa,India,Asia,high,0,1,0.57,0.65,medium,0.7,0.74,34
Langkawi,Malaysia,Asia,medium,0,1,0.65,0.79,high,0.81,0.36,30
Algarve,Portugal,Europe,high,0,1,0.62,0.74,high,0.59,0.7,26
Mallorca,Spain,Europe,medium,0,1,0.64,0.45,high,0.66,0.49,28
Crete,Greece,Europe,low,1,1,0.38,0.5,low,0.84,0.48,33
Koh Samui,Thailand,Asia,medium,1,1,0.43,0.36,low,0.59,0.61,29
Boracay,Philippines,Asia,low,1,1,0.47,0.68,medium,0.71,0.58,31
Hvar,Croatia,Europe,high,0,1,0.4,0.67,medium,0.82,0.59,28
Punta Cana,Dominican Republic,Caribbean,medium,1,1,0.67,0.63,high,0.54,0.76,33
Nosara,Costa Rica,Central America,medium,0,1,0.43,0.66,high,0.57,0.65,31
Essaouira,Morocco,Africa,medium,0,1,0.55,0.49,medium,0.5,0.48,31
Djerba,Tunisia,Africa,high,1,1,0.56,0.56,medium,0.57,0.56,27
Cyprus,Cyprus,Europe/Asia,medium,0,1,0.51,0.63,medium,0.79,0.69,29
Corfu,Greece,Europe,low,0,1,0.36,0.37,low,0.71,0.7,32
Naxos,Greece,Europe,medium,1,1,0.53,0.67,medium,0.64,0.42,25
Paphos,Cyprus,Europe/Asia,high,0,1,0.61,0.45,high,0.74,0.56,33
Hoi An,Vietnam,Asia,low,0,1,0.48,0.71,high,0.85,0.62,32
Koh Lanta,Thailand,Asia,medium,1,1,0.66,0.54,low,0.66,0.42,32
Menorca,Spain,Europe,medium,0,1,0.64,0.47,high,0.67,0.46,32
Canggu,Indonesia,Asia,low,0,1,0.39,0.5,low,0.53,0.42,31
Mombasa,Kenya,Africa,medium,1,1,0.39,0.54,medium,0.66,0.38,31
Marmaris,Turkey,Asia/Europe,medium,1,1,0.68,0.36,low,0.7,0.56,30
Varna,Bulgaria,Europe,medium,0,1,0.64,0.78,medium,0.76,0.6,34
Bodrum,Turkey,Asia/Europe,high,0,1,0.47,0.36,medium,0.74,0.53,27
Salalah,Oman,Middle East,high,0,1,0.69,0.59,low,0.71,0.65,26
Muscat Coast,Oman,Middle East,medium,0,1,0.65,0.43,medium,0.61,0.55,30
Aqaba,Jordan,Middle East,high,0,1,0.41,0.78,medium,0.79,0.56,33
Rome,Italy,Europe,high,1,0,0.96,0.61,high,0.73,0.43,20
Paris,France,Europe,medium,1,0,0.92,0.44,high,0.68,0.42,23
Kyoto,Japan,Asia,medium,0,1,0.82,0.47,high,0.74,0.51,26
Istanbul,Turkey,Asia/Europe,low,0,1,0.96,0.69,high,0.49,0.74,21
Cairo,Egypt,Africa,medium,1,0,0.83,0.61,medium,0.58,0.55,33
Athens,Greece,Europe,high,1,0,0.9,0.64,high,0.53,0.67,35
Marrakesh,Morocco,Africa,medium,0,0,0.97,0.38,high,0.52,0.54,32
Florence,Italy,Europe,medium,0,0,0.86,0.67,medium,0.71,0.63,28
Prague,Czech Republic,Europe,medium,0,0,0.95,0.55,high,0.66,0.61,35
Vienna,Austria,Europe,medium,0,0,0.94,0.47,high,0.59,0.56,33
Barcelona,Spain,Europe,high,0,1,0.9,0.47,medium,0.67,0.48,25
Lisbon,Portugal,Europe,low,0,1,0.93,0.65,high,0.74,0.68,29
Seville,Spain,Europe,low,0,0,0.95,0.4,medium,0.47,0.47,24
Mexico City,Mexico,North America,medium,0,0,0.92,0.54,medium,0.51,0.37,35
Lima,Peru,South America,low,0,0,0.83,0.6,medium,0.49,0.58,29
Cusco City,Peru,South America,low,0,1,0.96,0.59,high,0.52,0.56,34
Jerusalem,Israel/Palestine,Middle East,high,1,0,0.87,0.6,high,0.67,0.73,26
Amman,Jordan,Middle East,medium,1,0,0.85,0.42,medium,0.45,0.53,35
Petra,Jordan,Middle East,medium,0,1,0.87,0.69,medium,0.52,0.46,26
Beijing,China,Asia,medium,1,0,0.98,0.68,medium,0.5,0.47,29
Xi'an,China,Asia,medium,1,0,0.95,0.73,high,0.6,0.38,21
Delhi,India,Asia,high,1,0,0.82,0.44,high,0.71,0.58,20
Varanasi,India,Asia,high,1,0,0.96,0.42,high,0.58,0.46,33
Luang Prabang,Laos,Asia,medium,0,0,0.88,0.48,high,0.71,0.48,35
Siem Reap,Cambodia,Asia,medium,1,0,0.9,0.48,medium,0.74,0.51,20
Samarkand,Uzbekistan,Asia,medium,0,0,0.85,0.49,high,0.64,0.65,26
Bukhara,Uzbekistan,Asia,medium,0,0,0.98,0.54,medium,0.64,0.67,25
Krakow,Poland,Europe,medium,1,0,0.84,0.75,high,0.59,0.4,24
Budapest,Hungary,Europe,medium,1,1,0.87,0.68,high,0.52,0.57,32
Edinburgh,United Kingdom,Europe,high,0,0,0.96,0.69,medium,0.69,0.46,20
Dublin,Ireland,Europe,medium,0,0,0.92,0.49,high,0.61,0.53,30
Granada,Spain,Europe,high,1,0,0.86,0.66,medium,0.67,0.63,32
Fez,Morocco,Africa,medium,0,0,0.84,0.74,medium,0.48,0.69,23
Tunis,Tunisia,Africa,medium,0,1,0.85,0.7,high,0.47,0.66,28
Hanoi,Vietnam,Asia,low,1,1,0.69,0.33,medium,0.7,0.64,28
Da Nang,Vietnam,Asia,low,1,1,0.7,0.37,medium,0.41,0.28,32
Ho Chi Minh City,Vietnam,Asia,low,1,0,0.71,0.25,low,0.62,0.64,29
Chiang Rai,Thailand,Asia,low,0,1,0.55,0.11,low,0.42,0.41,28
La Paz,Bolivia,South America,low,0,0,0.64,0.3,medium,0.46,0.29,28
Sucre,Bolivia,South America,low,0,0,0.77,0.15,medium,0.49,0.36,22
Medellin,Colombia,South America,low,1,0,0.69,0.16,low,0.52,0.51,32
Quito,Ecuador,South America,low,1,1,0.54,0.4,low,0.53,0.47,25
Guatemala City,Guatemala,Central America,low,1,1,0.58,0.2,medium,0.41,0.62,28
Antigua Guatemala,Guatemala,Central America,low,1,0,0.65,0.34,medium,0.42,0.52,29
Oaxaca,Mexico,North America,low,1,0,0.66,0.22,medium,0.62,0.55,33
